episode,steps,reward,epsilon,max_q,avg100,lr
1,465,210.000,0.999559,0.13045,210.000,0.00025000
2,507,190.000,0.999078,0.11914,200.000,0.00025000
3,477,260.000,0.998624,0.12650,220.000,0.00025000
4,653,330.000,0.998004,0.13051,247.500,0.00025000
5,319,120.000,0.997701,0.11630,222.000,0.00025000
6,413,170.000,0.997309,0.12486,213.333,0.00025000
7,545,350.000,0.996791,0.15111,232.857,0.00025000
8,325,150.000,0.996482,0.14397,222.500,0.00025000
9,493,260.000,0.996014,0.12720,226.667,0.00025000
10,469,230.000,0.995568,0.12946,227.000,0.00025000
11,437,210.000,0.995153,0.13101,225.455,0.00025000
12,523,400.000,0.994656,0.13978,240.000,0.00025000
13,513,370.000,0.994169,0.11902,250.000,0.00025000
14,447,270.000,0.993744,0.12691,251.429,0.00025000
15,449,160.000,0.993318,0.12231,245.333,0.00025000
16,535,320.000,0.992809,0.14086,250.000,0.00025000
17,487,160.000,0.992347,0.12787,244.706,0.00025000
18,501,250.000,0.991871,0.13194,245.000,0.00025000
19,475,340.000,0.991420,0.12533,250.000,0.00025000
20,573,340.000,0.990875,0.11403,254.500,0.00025000
21,499,370.000,0.990401,0.11967,260.000,0.00025000
22,513,280.000,0.989914,0.11568,260.909,0.00025000
23,503,210.000,0.989436,0.14009,258.696,0.00025000
24,463,260.000,0.988996,0.12697,258.750,0.00025000
25,817,740.000,0.988220,0.13903,278.000,0.00025000
26,547,240.000,0.987700,0.13246,276.538,0.00025000
27,479,200.000,0.987245,0.11630,273.704,0.00025000
28,701,630.000,0.986579,0.12634,286.429,0.00025000
29,471,180.000,0.986132,0.13932,282.759,0.00025000
30,519,280.000,0.985639,0.13428,282.667,0.00025000
31,473,140.000,0.985190,0.13656,278.065,0.00025000
32,365,150.000,0.984843,0.13057,274.062,0.00025000
33,491,180.000,0.984376,0.12973,271.212,0.00025000
34,519,310.000,0.983883,0.14575,272.353,0.00025000
35,529,340.000,0.983381,0.13783,274.286,0.00025000
36,383,150.000,0.983017,0.12894,270.833,0.00025000
37,719,410.000,0.982334,0.13638,274.595,0.00025000
38,595,270.000,0.981769,0.12708,274.474,0.00025000
39,497,920.000,0.981296,0.11746,291.026,0.00025000
40,459,210.000,0.980860,0.57659,289.000,0.00024994
41,443,160.000,0.980440,0.60765,285.854,0.00024980
42,547,190.000,0.979920,0.59779,283.571,0.00024963
43,497,320.000,0.979448,0.69776,284.419,0.00024948
44,467,260.000,0.979004,0.67706,283.864,0.00024933
45,459,170.000,0.978568,0.70026,281.333,0.00024919
46,513,280.000,0.978081,0.65672,281.304,0.00024903
47,357,160.000,0.977742,0.64092,278.723,0.00024892
48,373,250.000,0.977387,0.60118,278.125,0.00024880
49,549,230.000,0.976866,0.72516,277.143,0.00024863
50,441,170.000,0.976447,0.70856,275.000,0.00024849
51,557,240.000,0.975917,0.65415,274.314,0.00024832
52,413,140.000,0.975525,0.71534,271.731,0.00024819
53,459,220.000,0.975089,0.72883,270.755,0.00024805
54,529,270.000,0.974587,0.70571,270.741,0.00024789
55,505,280.000,0.974107,0.70967,270.909,0.00024773
56,497,270.000,0.973635,0.80372,270.893,0.00024758
57,417,180.000,0.973239,0.77273,269.298,0.00024745
58,489,160.000,0.972774,0.80159,267.414,0.00024730
59,619,350.000,0.972186,0.81626,268.814,0.00024711
60,503,210.000,0.971708,0.85376,267.833,0.00024695
61,479,230.000,0.971253,1.09937,267.213,0.00024680
62,487,260.000,0.970790,1.22322,267.097,0.00024665
63,445,200.000,0.970368,1.23891,266.032,0.00024651
64,371,120.000,0.970015,1.52400,263.750,0.00024640
65,487,220.000,0.969553,1.47330,263.077,0.00024625
66,421,190.000,0.969153,1.56017,261.970,0.00024612
67,487,340.000,0.968690,1.37929,263.134,0.00024597
68,475,240.000,0.968239,1.50800,262.794,0.00024583
69,499,300.000,0.967765,1.44858,263.333,0.00024567
70,405,170.000,0.967380,1.53900,262.000,0.00024555
71,567,300.000,0.966841,1.55290,262.535,0.00024537
72,379,220.000,0.966481,1.53679,261.944,0.00024526
73,565,270.000,0.965944,1.50435,262.055,0.00024508
74,553,310.000,0.965419,1.26179,262.703,0.00024491
75,613,300.000,0.964837,1.41153,263.200,0.00024473
76,513,230.000,0.964349,1.54216,262.763,0.00024457
77,403,190.000,0.963966,1.47271,261.818,0.00024445
78,497,250.000,0.963494,1.45413,261.667,0.00024429
79,565,300.000,0.962958,1.81056,262.152,0.00024412
80,561,340.000,0.962425,1.61728,263.125,0.00024395
81,519,190.000,0.961932,1.46886,262.222,0.00024379
82,521,230.000,0.961437,1.84931,261.829,0.00024363
83,483,210.000,0.960978,1.63416,261.205,0.00024349
84,453,310.000,0.960547,1.57176,261.786,0.00024335
85,443,160.000,0.960127,2.00114,260.588,0.00024322
86,515,250.000,0.959637,1.76681,260.465,0.00024306
87,541,280.000,0.959123,1.75840,260.690,0.00024289
88,483,170.000,0.958665,1.96666,259.659,0.00024275
89,449,150.000,0.958238,1.74018,258.427,0.00024261
90,497,330.000,0.957766,1.74094,259.222,0.00024246
91,415,130.000,0.957372,1.83810,257.802,0.00024233
92,415,210.000,0.956977,1.95712,257.283,0.00024221
93,473,170.000,0.956528,2.41540,256.344,0.00024207
94,721,480.000,0.955843,2.11093,258.723,0.00024185
95,457,210.000,0.955409,1.97496,258.211,0.00024171
96,509,260.000,0.954925,1.84763,258.229,0.00024156
97,437,240.000,0.954510,2.03194,258.041,0.00024142
98,515,240.000,0.954021,2.14312,257.857,0.00024127
99,587,320.000,0.953463,1.77700,258.485,0.00024109
100,449,160.000,0.953037,2.01217,257.500,0.00024096
101,373,160.000,0.952682,1.80779,257.000,0.00024084
